Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
cmn_Hans  1.5236   54.7743  2.1471   1.6977       0.9376      0.0188       -0.6189          0.1144            1.2887
heb_Hebr  1.3113   47.1434  3.7118   0.9397       1.0499      0.7163       -1.0760          -0.5683           1.8146
deu_Latn  1.1007   39.5717  3.7750   1.2197       1.1094      0.7183       -0.4670          0.1435            1.3786
hrv_Latn  1.0988   39.5035  3.2279   1.3718       0.9873      0.4644       -0.7465          0.1913            1.2637
ron_Latn  1.0890   39.1505  3.8146   1.1785       0.9862      0.6011       -0.7024          0.2076            1.2502
fin_Latn  1.0881   39.1184  3.5682   1.2771       0.8716      0.4791       -0.5946          0.2399            1.1511
spa_Latn  1.0540   37.8937  4.0254   1.1670       0.9697      0.6544       -0.6474          0.1558            1.2796
ita_Latn  1.0480   37.6750  3.9452   1.2034       0.9079      0.5715       -0.6592          0.2041            1.2021
fra_Latn  1.0403   37.3982  4.1456   1.1177       0.9373      0.6412       -0.6562          0.2015            1.2234
nya_Latn  1.0159   36.5216  3.8937   1.1175       0.8585      0.6255       -0.5559          0.3075            1.0904
eng_Latn  1.0000   35.9509  3.4955   1.2724       1.0397      0.5747       -0.7007          0.1582            1.3231
jpn_Jpan  0.9786   35.1815  4.5629   1.0776       0.8604      0.8040       -0.0783          0.2178            1.1601
kat_Geor  0.9640   34.6580  10.7848  0.4588       0.6353      1.9131       2.6736           -0.1938           1.2316
vie_Latn  0.9592   34.4824  5.0851   0.9906       0.9049      0.8695       -0.3379          0.0820            1.2889
tha_Thai  0.9485   34.0993  10.1921  0.5193       0.6116      1.8363       2.5044           -0.0630           1.1403
tam_Taml  0.8199   29.4764  13.5702  0.4451       0.4601      1.9074       2.9577           -0.1638           1.0348
kor_Hang  0.7916   28.4594  5.3189   1.1228       0.7460      0.6376       -0.1882          0.2439            1.0621
arb_Arab  0.7892   28.3731  7.0905   0.8797       0.5008      0.9342       0.0407           -0.0613           1.0310
srp_Cyrl  0.6054   21.7643  10.4353  0.7498       0.4929      1.3491       1.5876           0.0180            0.9839
amh_Ethi  0.5653   20.3240  10.7781  0.7684       0.5794      0.8424       -0.1115          0.0404            1.0545

# eng_Latn reference (raw_entropy, t_1.8330, t_lower_bound): pps=35.9509	bpp=3.4955
