Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
tam_Taml  2.5843   93.1605  4.2937  0.4451       0.4601      1.9074       2.9577           -0.1638           1.0348
kat_Geor  2.3645   85.2387  4.3851  0.4588       0.6353      1.9131       2.6736           -0.1938           1.2316
tha_Thai  2.2933   82.6720  4.2039  0.5193       0.6116      1.8363       2.5044           -0.0630           1.1403
amh_Ethi  1.9752   71.2056  3.0763  0.7684       0.5794      0.8424       -0.1115          0.0404            1.0545
heb_Hebr  1.9156   69.0572  2.5340  0.9397       1.0499      0.7163       -1.0760          -0.5683           1.8146
arb_Arab  1.8023   64.9729  3.0964  0.8797       0.5008      0.9342       0.0407           -0.0613           1.0310
srp_Cyrl  1.8017   64.9488  3.4968  0.7498       0.4929      1.3491       1.5876           0.0180            0.9839
jpn_Jpan  1.4566   52.5095  3.0572  1.0776       0.8604      0.8040       -0.0783          0.2178            1.1601
kor_Hang  1.4143   50.9840  2.9690  1.1228       0.7460      0.6376       -0.1882          0.2439            1.0621
vie_Latn  1.2975   46.7753  3.7487  0.9906       0.9049      0.8695       -0.3379          0.0820            1.2889
cmn_Hans  1.2884   46.4453  2.5322  1.6977       0.9376      0.0188       -0.6189          0.1144            1.2887
deu_Latn  1.2028   43.3601  3.4452  1.2197       1.1094      0.7183       -0.4670          0.1435            1.3786
nya_Latn  1.1962   43.1224  3.2977  1.1175       0.8585      0.6255       -0.5559          0.3075            1.0904
spa_Latn  1.1687   42.1294  3.6206  1.1670       0.9697      0.6544       -0.6474          0.1558            1.2796
ron_Latn  1.1630   41.9268  3.5620  1.1785       0.9862      0.6011       -0.7024          0.2076            1.2502
fra_Latn  1.1565   41.6901  3.7188  1.1177       0.9373      0.6412       -0.6562          0.2015            1.2234
ita_Latn  1.1245   40.5366  3.6667  1.2034       0.9079      0.5715       -0.6592          0.2041            1.2021
fin_Latn  1.0953   39.4835  3.5352  1.2771       0.8716      0.4791       -0.5946          0.2399            1.1511
hrv_Latn  1.0662   38.4363  3.3175  1.3718       0.9873      0.4644       -0.7465          0.1913            1.2637
eng_Latn  1.0000   36.0491  3.4860  1.2724       1.0397      0.5747       -0.7007          0.1582            1.3231

# eng_Latn reference (raw_monotonicity, t_0.5191, t_lower_bound): pps=36.0491	bpp=3.4860
