Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
amh_Ethi  5.3857   193.8425  1.1301  2.7971       0.7736      -0.4933      -0.8052          -0.1665           1.3434
kat_Geor  3.7297   134.2387  2.7844  1.3694       1.9535      0.5694       -1.4568          -0.4103           2.3474
srp_Cyrl  3.5793   128.8275  1.7629  2.3646       1.5654      -0.0448      -1.7470          -0.6842           2.2962
nya_Latn  3.3480   120.5005  1.1801  2.3123       0.5504      -0.6023      0.4802           0.1607            0.9612
tam_Taml  3.1201   112.2999  3.5619  1.0296       0.9266      0.7842       -0.8247          -0.4460           1.6370
hrv_Latn  2.9131   104.8465  1.2162  2.2131       0.5256      -0.3455      0.2096           0.0804            0.9832
tha_Thai  2.5452   91.6078   3.7938  0.9909       1.1738      1.1388       -0.2451          -0.3408           1.7742
ron_Latn  2.5105   90.3591   1.6528  1.8004       0.7836      -0.0710      -0.5917          0.1168            1.1765
fin_Latn  2.4460   88.0361   1.5855  1.8263       0.6869      -0.0217      -0.2302          0.1402            1.0868
heb_Hebr  2.2196   79.8887   2.1904  1.6378       1.5518      0.1202       -1.8717          -0.7842           2.3532
cmn_Hans  2.2076   79.4574   1.4801  1.9290       0.8844      -0.1378      -0.4529          0.0927            1.2668
kor_Hang  2.0705   74.5206   2.0313  1.7424       0.7243      0.1995       -0.5579          0.0416            1.1782
arb_Arab  1.8787   67.6179   2.9752  1.2928       0.4725      0.5239       -0.6872          -0.3667           1.1365
ita_Latn  1.8005   64.8044   2.2936  1.5139       0.7974      0.2478       -0.6839          0.1650            1.1540
vie_Latn  1.7892   64.3972   2.7229  1.3760       0.8855      0.4377       -0.8109          -0.0099           1.3374
fra_Latn  1.6196   58.2939   2.6596  1.3478       0.8843      0.3596       -0.8204          0.1848            1.2007
jpn_Jpan  1.5648   56.3200   2.8503  1.2989       0.8976      0.6057       -0.4848          0.1327            1.2478
spa_Latn  1.5543   55.9438   2.7266  1.3485       0.9081      0.4388       -0.7899          0.1339            1.2542
deu_Latn  1.5515   55.8425   2.6751  1.3996       1.0343      0.5344       -0.5527          0.1303            1.3413
eng_Latn  1.0000   35.9920   3.4915  1.0874       1.0221      0.7462       -0.5605          0.1813            1.2937

# eng_Latn reference (raw_entropy, t_1.6279, t_lower_bound): pps=35.9920	bpp=3.4915
