Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
tam_Taml  4.8932   176.0211  2.2725  1.0296       0.9266      0.7842       -0.8247          -0.4460           1.6370
kat_Geor  3.6514   131.3531  2.8456  1.3694       1.9535      0.5694       -1.4568          -0.4103           2.3474
tha_Thai  3.2688   117.5898  2.9556  0.9909       1.1738      1.1388       -0.2451          -0.3408           1.7742
srp_Cyrl  2.8267   101.6841  2.2335  2.3646       1.5654      -0.0448      -1.7470          -0.6842           2.2962
arb_Arab  2.2847   82.1886   2.4478  1.2928       0.4725      0.5239       -0.6872          -0.3667           1.1365
amh_Ethi  2.2549   81.1143   2.7005  2.7971       0.7736      -0.4933      -0.8052          -0.1665           1.3434
heb_Hebr  2.2019   79.2086   2.2092  1.6378       1.5518      0.1202       -1.8717          -0.7842           2.3532
jpn_Jpan  1.6798   60.4283   2.6565  1.2989       0.8976      0.6057       -0.4848          0.1327            1.2478
kor_Hang  1.6313   58.6830   2.5795  1.7424       0.7243      0.1995       -0.5579          0.0416            1.1782
vie_Latn  1.5963   57.4243   3.0535  1.3760       0.8855      0.4377       -0.8109          -0.0099           1.3374
ron_Latn  1.4199   51.0792   2.9238  1.8004       0.7836      -0.0710      -0.5917          0.1168            1.1765
deu_Latn  1.3738   49.4203   3.0227  1.3996       1.0343      0.5344       -0.5527          0.1303            1.3413
cmn_Hans  1.3734   49.4052   2.3805  1.9290       0.8844      -0.1378      -0.4529          0.0927            1.2668
spa_Latn  1.3661   49.1434   3.1039  1.3485       0.9081      0.4388       -0.7899          0.1339            1.2542
fra_Latn  1.3628   49.0241   3.1625  1.3478       0.8843      0.3596       -0.8204          0.1848            1.2007
ita_Latn  1.3324   47.9308   3.1010  1.5139       0.7974      0.2478       -0.6839          0.1650            1.1540
nya_Latn  1.3225   47.5727   2.9892  2.3123       0.5504      -0.6023      0.4802           0.1607            0.9612
fin_Latn  1.2809   46.0792   3.0292  1.8263       0.6869      -0.0217      -0.2302          0.1402            1.0868
hrv_Latn  1.2315   44.2999   2.8784  2.2131       0.5256      -0.3455      0.2096           0.0804            0.9832
eng_Latn  1.0000   35.9729   3.4934  1.0874       1.0221      0.7462       -0.5605          0.1813            1.2937

# eng_Latn reference (raw_monotonicity, t_0.4229, t_lower_bound): pps=35.9729	bpp=3.4934
