Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
tam_Taml  5.0807   183.0261  2.1855  0.9420       0.8825      0.9868       -0.3462          -0.4326           1.5901
tha_Thai  3.9070   140.7452  2.4693  1.0855       1.2734      0.9295       -0.7394          -0.3830           1.8768
amh_Ethi  3.6937   133.0622  1.6462  1.8403       1.4211      0.2600       -1.2062          -0.2698           1.8998
kat_Geor  3.4324   123.6489  3.0229  1.0252       1.4203      0.7729       -1.0954          -0.4191           2.0078
srp_Cyrl  2.6389   95.0652   2.3891  0.9227       0.5412      1.0944       0.8799           0.0327            1.0233
arb_Arab  2.5104   90.4343   2.2246  1.4220       0.4727      0.2610       -0.8248          -0.3061           1.1112
heb_Hebr  2.2710   81.8104   2.1390  1.5414       1.3086      0.0834       -1.6976          -0.7878           2.1631
jpn_Jpan  1.8852   67.9117   2.3638  1.1858       0.9391      0.7138       -0.2931          0.2205            1.2099
kor_Hang  1.8233   65.6841   2.3045  1.3217       0.8134      0.4488       -0.5038          0.2394            1.1123
nya_Latn  1.6825   60.6088   2.3463  2.1927       0.6108      -0.5292      0.4067           0.2042            0.9860
vie_Latn  1.6350   58.8987   2.9771  1.1031       0.9569      0.7796       -0.4069          0.0860            1.3225
ron_Latn  1.5321   55.1936   2.7058  1.4375       1.0281      0.3213       -0.8621          0.2398            1.2503
cmn_Hans  1.5005   54.0552   2.1757  1.7606       1.0237      -0.0501      -0.7676          0.1488            1.3201
fin_Latn  1.4947   53.8465   2.5923  1.6024       0.8576      0.1382       -0.6255          0.2446            1.1382
spa_Latn  1.4533   52.3551   2.9135  1.1121       0.9784      0.7064       -0.5953          0.1998            1.2513
ita_Latn  1.4432   51.9900   2.8589  1.1999       0.9214      0.5707       -0.6309          0.2375            1.1854
deu_Latn  1.4090   50.7563   2.9432  1.1592       1.1120      0.7765       -0.4131          0.1699            1.3587
hrv_Latn  1.4034   50.5557   2.5222  1.7297       0.8866      0.1448       -0.6617          0.1772            1.2079
fra_Latn  1.3848   49.8847   3.1079  1.0405       0.9343      0.7433       -0.4993          0.2463            1.1868
eng_Latn  1.0000   36.0241   3.4884  0.8154       0.9091      1.1148       0.1349           0.1933            1.2111

# eng_Latn reference (raw_monotonicity, t_0.2359, t_lower_bound): pps=36.0241	bpp=3.4884
