Language  Premium  PPS       BPP
tam_Taml  5.3305   190.8516  2.0959
tha_Thai  3.8325   137.2166  2.5328
amh_Ethi  3.7643   134.7763  1.6253
kat_Geor  3.4857   124.8014  2.9950
srp_Cyrl  2.9206   104.5657  2.1720
arb_Arab  2.8279   101.2467  1.9870
heb_Hebr  2.3300   83.4213   2.0977
kor_Hang  2.0481   73.3290   2.0643
jpn_Jpan  2.0041   71.7523   2.2373
nya_Latn  1.9963   71.4754   1.9895
fin_Latn  1.7373   62.2026   2.2440
vie_Latn  1.7186   61.5326   2.8496
ron_Latn  1.6874   60.4152   2.4720
hrv_Latn  1.6432   58.8335   2.1673
cmn_Hans  1.6243   58.1555   2.0223
ita_Latn  1.5803   56.5817   2.6269
spa_Latn  1.5377   55.0552   2.7706
deu_Latn  1.4935   53.4714   2.7937
fra_Latn  1.4323   51.2828   3.0232
eng_Latn  1.0000   35.8034   3.5099

# eng_Latn reference (combined, t_0.0000, t_lower_bound): pps=35.8034	bpp=3.5099
