Language  Premium  PPS      BPP
cmn_Hans  1.4520   52.7743  2.2285
heb_Hebr  1.2779   46.4463  3.7676
hrv_Latn  1.1017   40.0431  3.1844
deu_Latn  1.0917   39.6810  3.7646
ron_Latn  1.0819   39.3230  3.7979
ita_Latn  1.0650   38.7091  3.8398
fin_Latn  1.0422   37.8806  3.6848
spa_Latn  1.0287   37.3902  4.0796
nya_Latn  1.0205   37.0903  3.8340
tha_Thai  1.0081   36.6399  9.4854
eng_Latn  1.0000   36.3470  3.4574
fra_Latn  0.9825   35.7121  4.3413
vie_Latn  0.9546   34.6971  5.0536
jpn_Jpan  0.9248   33.6138  4.7757
kat_Geor  0.9081   33.0070  11.3242
tam_Taml  0.8327   30.2658  13.2163
kor_Hang  0.7608   27.6530  5.4740
arb_Arab  0.6817   24.7773  8.1195
amh_Ethi  0.5496   19.9759  10.9659
srp_Cyrl  0.5320   19.3350  11.7464

# eng_Latn reference (raw_entropy, t_1.9766, t_lower_bound): pps=36.3470	bpp=3.4574
