Language  Premium  PPS      BPP
amh_Ethi  1.6069   57.9809  3.7780
heb_Hebr  1.5784   56.9509  3.0726
cmn_Hans  1.5303   55.2156  2.1300
kat_Geor  1.4191   51.2046  7.2997
tha_Thai  1.3950   50.3350  6.9046
arb_Arab  1.3735   49.5577  4.0595
kor_Hang  1.3358   48.1976  3.1407
tam_Taml  1.2832   46.3009  8.6392
jpn_Jpan  1.2388   44.6991  3.5913
vie_Latn  1.1463   41.3621  4.2393
deu_Latn  1.1333   40.8937  3.6530
ita_Latn  1.1271   40.6680  3.6548
srp_Cyrl  1.1066   39.9288  5.6880
fin_Latn  1.1026   39.7854  3.5084
spa_Latn  1.0997   39.6800  3.8441
hrv_Latn  1.0929   39.4333  3.2336
ron_Latn  1.0734   38.7312  3.8559
nya_Latn  1.0710   38.6449  3.6797
fra_Latn  1.0629   38.3531  4.0424
eng_Latn  1.0000   36.0822  3.4828

# eng_Latn reference (combined, t_0.0000, t_lower_bound): pps=36.0822	bpp=3.4828
