Language  Premium  PPS      BPP
tam_Taml  2.5406   91.4052  4.3761
kat_Geor  2.3234   83.5898  4.4716
tha_Thai  2.2594   81.2899  4.2754
amh_Ethi  1.9495   70.1374  3.1232
heb_Hebr  1.9024   68.4453  2.5566
arb_Arab  1.7882   64.3350  3.1271
srp_Cyrl  1.7827   64.1364  3.5411
jpn_Jpan  1.4424   51.8957  3.0933
kor_Hang  1.3902   50.0160  3.0265
cmn_Hans  1.2852   46.2397  2.5434
vie_Latn  1.2820   46.1254  3.8015
deu_Latn  1.1922   42.8937  3.4827
nya_Latn  1.1842   42.6068  3.3376
spa_Latn  1.1559   41.5858  3.6680
fra_Latn  1.1554   41.5697  3.7296
ron_Latn  1.1472   41.2728  3.6185
ita_Latn  1.1215   40.3480  3.6838
fin_Latn  1.0950   39.3962  3.5431
hrv_Latn  1.0712   38.5396  3.3086
eng_Latn  1.0000   35.9779  3.4929

# eng_Latn reference (raw_monotonicity, t_0.5248, t_lower_bound): pps=35.9779	bpp=3.4929
