Language  Premium  PPS       BPP
tha_Thai  3.7222   173.2497  2.0060
kat_Geor  3.4441   160.3029  2.3317
srp_Cyrl  2.1116   98.2839   2.3108
heb_Hebr  1.5906   74.0351   2.3636
amh_Ethi  1.4821   68.9819   3.1755
vie_Latn  1.4746   68.6329   2.5548
arb_Arab  1.4449   67.2528   2.9914
kor_Hang  1.3357   62.1715   2.4348
tam_Taml  1.3068   60.8255   6.5762
jpn_Jpan  1.3001   60.5135   2.6528
ron_Latn  1.2546   58.3942   2.5575
deu_Latn  1.2497   58.1685   2.5681
ita_Latn  1.1734   54.6169   2.7214
spa_Latn  1.1500   53.5286   2.8496
fra_Latn  1.1480   53.4323   2.9016
fin_Latn  1.0631   49.4835   2.8208
eng_Latn  1.0000   46.5446   2.6999
hrv_Latn  0.9919   46.1655   2.7621
nya_Latn  0.9802   45.6219   3.1170
cmn_Hans  0.8102   37.7101   3.1187

# eng_Latn reference (combined, t_0.0000, t_lower_bound): pps=46.5446	bpp=2.6999
