Language  Premium  PPS       BPP
tam_Taml  3.0711   110.8295  3.6092
kat_Geor  2.9393   106.0722  3.5238
tha_Thai  1.9513   70.4162   4.9356
amh_Ethi  1.7432   62.9087   3.4821
arb_Arab  1.6058   57.9498   3.4716
srp_Cyrl  1.5670   56.5476   4.0164
vie_Latn  1.3748   49.6118   3.5343
heb_Hebr  1.3646   49.2457   3.5534
jpn_Jpan  1.2621   45.5466   3.5245
fra_Latn  1.2322   44.4674   3.4866
kor_Hang  1.2209   44.0582   3.4357
spa_Latn  1.2084   43.6078   3.4979
ron_Latn  1.1961   43.1655   3.4598
deu_Latn  1.1830   42.6921   3.4991
ita_Latn  1.1663   42.0903   3.5313
nya_Latn  1.1603   41.8736   3.3960
fin_Latn  1.1140   40.2016   3.4721
hrv_Latn  1.0029   36.1916   3.5233
eng_Latn  1.0000   36.0873   3.4823
cmn_Hans  0.9397   33.9097   3.4682

# eng_Latn reference (norm_entropy, t_0.6709, t_lower_bound): pps=36.0873	bpp=3.4823
