Language  Premium  PPS       BPP
tam_Taml  2.8289   101.0672  3.9578
kat_Geor  2.1890   78.2086   4.7793
amh_Ethi  1.8629   66.5567   3.2912
arb_Arab  1.7494   62.5005   3.2188
vie_Latn  1.3202   47.1655   3.7177
srp_Cyrl  1.3106   46.8255   4.8503
nya_Latn  1.2311   43.9829   3.2332
fra_Latn  1.2260   43.8024   3.5395
jpn_Jpan  1.2120   43.3009   3.7073
spa_Latn  1.1995   42.8536   3.5595
ron_Latn  1.1853   42.3470   3.5267
kor_Hang  1.1843   42.3129   3.5774
deu_Latn  1.1775   42.0682   3.5510
heb_Hebr  1.1544   41.2447   4.2427
ita_Latn  1.1471   40.9819   3.6268
fin_Latn  1.1063   39.5266   3.5314
tha_Thai  1.0271   36.6941   9.4714
hrv_Latn  1.0185   36.3892   3.5041
eng_Latn  1.0000   35.7272   3.5174
cmn_Hans  0.9830   35.1194   3.3488

# eng_Latn reference (raw_monotonicity, t_0.6947, t_lower_bound): pps=35.7272	bpp=3.5174
