Language  Premium  PPS      BPP
amh_Ethi  1.6400   59.0652  3.7087
heb_Hebr  1.5718   56.6098  3.0911
cmn_Hans  1.5280   55.0341  2.1370
kat_Geor  1.4490   52.1876  7.1622
arb_Arab  1.3795   49.6851  4.0491
tha_Thai  1.3618   49.0481  7.0858
kor_Hang  1.3510   48.6570  3.1110
tam_Taml  1.2848   46.2728  8.6444
jpn_Jpan  1.2486   44.9679  3.5699
vie_Latn  1.1661   41.9980  4.1751
deu_Latn  1.1488   41.3761  3.6104
fin_Latn  1.1402   41.0672  3.3989
ita_Latn  1.1086   39.9258  3.7228
spa_Latn  1.1061   39.8385  3.8288
srp_Cyrl  1.0978   39.5386  5.7442
hrv_Latn  1.0965   39.4925  3.2288
ron_Latn  1.0758   38.7452  3.8545
nya_Latn  1.0716   38.5948  3.6845
fra_Latn  1.0668   38.4233  4.0350
eng_Latn  1.0000   36.0160  3.4892

# eng_Latn reference (combined, t_0.0000, t_lower_bound): pps=36.0160	bpp=3.4892
