Language  Premium  PPS      BPP
kat_Geor  2.0633   74.2407  5.0347
tam_Taml  2.0165   72.5567  5.5129
amh_Ethi  1.9073   68.6259  3.1920
tha_Thai  1.7912   64.4483  5.3926
heb_Hebr  1.4876   53.5236  3.2694
arb_Arab  1.4242   51.2437  3.9259
srp_Cyrl  1.3721   49.3691  4.6004
vie_Latn  1.3097   47.1254  3.7208
jpn_Jpan  1.2711   45.7352  3.5100
fra_Latn  1.2405   44.6349  3.4735
ron_Latn  1.2092   43.5095  3.4324
spa_Latn  1.1861   42.6760  3.5743
nya_Latn  1.1855   42.6550  3.3338
ita_Latn  1.1605   41.7563  3.5596
fin_Latn  1.1602   41.7442  3.3438
deu_Latn  1.1227   40.3972  3.6979
kor_Hang  1.0932   39.3340  3.8484
hrv_Latn  1.0118   36.4042  3.5027
eng_Latn  1.0000   35.9809  3.4926
cmn_Hans  0.8705   31.3230  3.7547

# eng_Latn reference (norm_entropy, t_0.5391, t_lower_bound): pps=35.9809	bpp=3.4926
