Language  Premium  PPS      BPP
cmn_Hans  1.5367   56.1073  2.0961
heb_Hebr  1.3057   47.6720  3.6707
fin_Latn  1.1036   40.2949  3.4641
deu_Latn  1.1015   40.2177  3.7144
hrv_Latn  1.1013   40.2106  3.1711
ron_Latn  1.0926   39.8917  3.7437
spa_Latn  1.0558   38.5486  3.9570
ita_Latn  1.0491   38.3029  3.8805
fra_Latn  1.0435   38.0983  4.0694
nya_Latn  1.0167   37.1204  3.8309
eng_Latn  1.0000   36.5115  3.4418
jpn_Jpan  0.9879   36.0682  4.4507
kat_Geor  0.9629   35.1585  10.6313
vie_Latn  0.9600   35.0522  5.0024
tha_Thai  0.9459   34.5376  10.0628
tam_Taml  0.8225   30.0301  13.3200
arb_Arab  0.8050   29.3932  6.8444
kor_Hang  0.7993   29.1846  5.1867
srp_Cyrl  0.6096   22.2588  10.2035
amh_Ethi  0.5706   20.8325  10.5150

# eng_Latn reference (raw_entropy, t_1.8125, t_lower_bound): pps=36.5115	bpp=3.4418
