Language  Premium  PPS       BPP
kat_Geor  3.6481   132.0471  2.8307
tam_Taml  3.6011   130.3460  3.0688
srp_Cyrl  3.1156   112.7733  2.0139
amh_Ethi  2.8682   103.8185  2.1100
tha_Thai  2.8317   102.4975  3.3908
arb_Arab  2.3567   85.3049   2.3584
heb_Hebr  2.1958   79.4814   2.2016
kor_Hang  2.0063   72.6209   2.0844
nya_Latn  1.9802   71.6760   1.9840
ron_Latn  1.8167   65.7583   2.2711
fin_Latn  1.7798   64.4233   2.1667
vie_Latn  1.7276   62.5326   2.8041
hrv_Latn  1.7238   62.3952   2.0436
jpn_Jpan  1.6338   59.1364   2.7146
ita_Latn  1.6246   58.8034   2.5276
cmn_Hans  1.6087   58.2287   2.0197
deu_Latn  1.5482   56.0411   2.6656
fra_Latn  1.4964   54.1655   2.8623
spa_Latn  1.4864   53.8024   2.8351
eng_Latn  1.0000   36.1966   3.4718

# eng_Latn reference (combined, t_0.0000, t_lower_bound): pps=36.1966	bpp=3.4718
