Language  Premium  PPS       BPP
kat_Geor  3.5381   127.4233  2.9334
tam_Taml  3.2624   117.4945  3.4044
srp_Cyrl  2.7492   99.0130   2.2938
tha_Thai  2.6034   93.7603   3.7067
amh_Ethi  2.5572   92.0993   2.3784
heb_Hebr  2.1980   79.1625   2.2105
arb_Arab  1.8436   66.3982   3.0299
vie_Latn  1.3893   50.0351   3.5044
jpn_Jpan  1.3182   47.4754   3.3813
fra_Latn  1.2773   46.0020   3.3702
ron_Latn  1.2330   44.4082   3.3630
spa_Latn  1.2296   44.2839   3.4445
ita_Latn  1.2099   43.5757   3.4109
nya_Latn  1.2069   43.4674   3.2715
kor_Hang  1.1982   43.1535   3.5078
deu_Latn  1.1442   41.2096   3.6250
fin_Latn  1.1063   39.8445   3.5032
hrv_Latn  1.0703   38.5486   3.3078
eng_Latn  1.0000   36.0150   3.4893
cmn_Hans  0.8917   32.1163   3.6619

# eng_Latn reference (norm_entropy, t_0.5244, t_lower_bound): pps=36.0150	bpp=3.4893
