Language  Premium  PPS       BPP
amh_Ethi  5.3139   195.1866  1.1223
kat_Geor  3.6666   134.6800  2.7753
srp_Cyrl  3.5303   129.6730  1.7515
nya_Latn  3.3042   121.3661  1.1717
tam_Taml  3.0977   113.7823  3.5155
hrv_Latn  2.8864   106.0201  1.2027
tha_Thai  2.5185   92.5065   3.7570
ron_Latn  2.5034   91.9529   1.6241
fin_Latn  2.4453   89.8195   1.5540
cmn_Hans  2.1994   80.7884   1.4557
heb_Hebr  2.1760   79.9288   2.1893
kor_Hang  2.1041   77.2849   1.9586
arb_Arab  1.8699   68.6851   2.9290
ita_Latn  1.8105   66.5035   2.2350
vie_Latn  1.8006   66.1374   2.6512
fra_Latn  1.6299   59.8666   2.5897
jpn_Jpan  1.5663   57.5306   2.7903
spa_Latn  1.5632   57.4173   2.6566
deu_Latn  1.5589   57.2588   2.6089
eng_Latn  1.0000   36.7312   3.4213

# eng_Latn reference (raw_entropy, t_1.6006, t_lower_bound): pps=36.7312	bpp=3.4213
