Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
cmn_Hans  1.4758   42.7613  1.9787   2.3793       3.0629      0.0901       -1.4547          -0.5768           3.1080
vie_Latn  1.3886   40.2357  6.5806   0.6781       1.0269      1.3161       0.2881           -0.3796           1.6833
heb_Hebr  1.3202   38.2528  5.1131   0.8497       1.0971      0.8489       -0.7852          -0.5711           1.8567
tha_Thai  1.2930   37.4664  6.4394   0.6999       1.0716      1.2526       0.0887           -0.3795           1.7195
arb_Arab  1.2901   37.3821  5.9337   0.8017       0.9955      0.9394       -0.6065          -0.4942           1.7248
amh_Ethi  1.2586   36.4684  4.6825   0.9748       1.6055      1.1122       -0.1994          -0.4337           2.1456
kor_Hang  1.2499   36.2166  3.4901   1.3352       2.4514      1.0009       -0.3006          -0.3564           2.5788
jpn_Jpan  1.2066   34.9629  3.1360   1.5129       2.4909      0.7702       -0.6797          -0.3865           2.6282
spa_Latn  1.1123   32.2307  9.2853   0.6397       0.8771      1.3906       0.7740           -0.4361           1.5872
ron_Latn  1.0767   31.1986  9.0688   0.6803       0.9307      1.3145       0.5906           -0.4576           1.6472
ita_Latn  1.0681   30.9478  9.5343   0.6621       0.8731      1.3087       0.5992           -0.4730           1.6037
deu_Latn  1.0643   30.8385  9.5335   0.6561       0.9530      1.4971       1.2324           -0.4008           1.6340
hrv_Latn  1.0563   30.6058  8.1188   0.7494       1.0075      1.2103       0.3656           -0.5034           1.7405
fra_Latn  1.0284   29.7984  10.0164  0.6226       0.8492      1.4120       0.8781           -0.4117           1.5485
eng_Latn  1.0000   28.9759  8.6672   0.6780       0.9735      1.3851       0.7900           -0.4377           1.6731
tam_Taml  0.9894   28.6700  10.2245  0.5854       0.7546      1.3891       0.7653           -0.4168           1.4623
nya_Latn  0.9658   27.9860  10.1399  0.6086       0.7830      1.3858       0.8411           -0.4386           1.5010
srp_Cyrl  0.9546   27.6600  9.0296   0.6790       0.9192      1.3521       0.7578           -0.4556           1.6358
kat_Geor  0.9332   27.0411  10.2332  0.6001       0.8257      1.5011       1.1545           -0.3815           1.5104
fin_Latn  0.8891   25.7623  10.4290  0.6919       0.8801      1.2118       0.3999           -0.5156           1.6334

# eng_Latn reference (raw_entropy, t_2.1782, t_midpoint): pps=28.9759	bpp=8.6672
