Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
vie_Latn  1.3566   38.9047  6.8057   0.6781       1.0269      1.3161       0.2881           -0.3796           1.6833
heb_Hebr  1.2789   36.6780  5.3326   0.8497       1.0971      0.8489       -0.7852          -0.5711           1.8567
tha_Thai  1.2706   36.4383  6.6210   0.6999       1.0716      1.2526       0.0887           -0.3795           1.7195
amh_Ethi  1.1924   34.1956  4.9937   0.9748       1.6055      1.1122       -0.1994          -0.4337           2.1456
arb_Arab  1.1902   34.1324  6.4986   0.8017       0.9955      0.9394       -0.6065          -0.4942           1.7248
spa_Latn  1.1172   32.0411  9.3402   0.6397       0.8771      1.3906       0.7740           -0.4361           1.5872
ron_Latn  1.0795   30.9589  9.1390   0.6803       0.9307      1.3145       0.5906           -0.4576           1.6472
deu_Latn  1.0679   30.6259  9.5997   0.6561       0.9530      1.4971       1.2324           -0.4008           1.6340
ita_Latn  1.0673   30.6098  9.6396   0.6621       0.8731      1.3087       0.5992           -0.4730           1.6037
hrv_Latn  1.0379   29.7673  8.3475   0.7494       1.0075      1.2103       0.3656           -0.5034           1.7405
cmn_Hans  1.0292   29.5165  2.8666   2.3793       3.0629      0.0901       -1.4547          -0.5768           3.1080
fra_Latn  1.0256   29.4122  10.1479  0.6226       0.8492      1.4120       0.8781           -0.4117           1.5485
kor_Hang  1.0240   29.3671  4.3042   1.3352       2.4514      1.0009       -0.3006          -0.3564           2.5788
eng_Latn  1.0000   28.6790  8.7570   0.6780       0.9735      1.3851       0.7900           -0.4377           1.6731
tam_Taml  0.9796   28.0943  10.4340  0.5854       0.7546      1.3891       0.7653           -0.4168           1.4623
jpn_Jpan  0.9780   28.0471  3.9093   1.5129       2.4909      0.7702       -0.6797          -0.3865           2.6282
nya_Latn  0.9583   27.4845  10.3249  0.6086       0.7830      1.3858       0.8411           -0.4386           1.5010
srp_Cyrl  0.9518   27.2969  9.1497   0.6790       0.9192      1.3521       0.7578           -0.4556           1.6358
kat_Geor  0.9463   27.1384  10.1965  0.6001       0.8257      1.5011       1.1545           -0.3815           1.5104
fin_Latn  0.8797   25.2297  10.6492  0.6919       0.8801      1.2118       0.3999           -0.5156           1.6334

# eng_Latn reference (raw_monotonicity, t_2.1985, t_midpoint): pps=28.6790	bpp=8.7570
