Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
heb_Hebr  1.3915   40.0853  4.3654   0.9397       1.0499      0.7163       -1.0760          -0.5683           1.8146
cmn_Hans  1.2455   35.8776  3.2780   1.6977       0.9376      0.0188       -0.6189          0.1144            1.2887
deu_Latn  1.0857   31.2748  4.7765   1.2197       1.1094      0.7183       -0.4670          0.1435            1.3786
hrv_Latn  1.0745   30.9519  4.1197   1.3718       0.9873      0.4644       -0.7465          0.1913            1.2637
spa_Latn  1.0651   30.6810  4.9717   1.1670       0.9697      0.6544       -0.6474          0.1558            1.2796
ron_Latn  1.0522   30.3109  4.9271   1.1785       0.9862      0.6011       -0.7024          0.2076            1.2502
ita_Latn  1.0337   29.7783  4.9913   1.2034       0.9079      0.5715       -0.6592          0.2041            1.2021
vie_Latn  1.0167   29.2879  5.9870   0.9906       0.9049      0.8695       -0.3379          0.0820            1.2889
fra_Latn  1.0068   29.0010  5.3460   1.1177       0.9373      0.6412       -0.6562          0.2015            1.2234
eng_Latn  1.0000   28.8064  4.3625   1.2724       1.0397      0.5747       -0.7007          0.1582            1.3231
kat_Geor  0.9906   28.5366  13.0982  0.4588       0.6353      1.9131       2.6736           -0.1938           1.2316
tha_Thai  0.9739   28.0542  12.3883  0.5193       0.6116      1.8363       2.5044           -0.0630           1.1403
nya_Latn  0.9392   27.0542  5.2563   1.1175       0.8585      0.6255       -0.5559          0.3075            1.0904
fin_Latn  0.9306   26.8064  5.2071   1.2771       0.8716      0.4791       -0.5946          0.2399            1.1511
tam_Taml  0.7907   22.7783  17.5606  0.4451       0.4601      1.9074       2.9577           -0.1638           1.0348
jpn_Jpan  0.7856   22.6309  7.0934   1.0776       0.8604      0.8040       -0.0783          0.2178            1.1601
kor_Hang  0.7124   20.5216  7.3762   1.1228       0.7460      0.6376       -0.1882          0.2439            1.0621
arb_Arab  0.5714   16.4604  12.2220  0.8797       0.5008      0.9342       0.0407           -0.0613           1.0310
srp_Cyrl  0.5589   16.1003  14.1063  0.7498       0.4929      1.3491       1.5876           0.0180            0.9839
amh_Ethi  0.4740   13.6540  16.0432  0.7684       0.5794      0.8424       -0.1115          0.0404            1.0545

# eng_Latn reference (raw_entropy, t_2.1167, t_midpoint): pps=28.8064	bpp=4.3625
