Language  Premium  PPS      BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
kat_Geor  2.3336   66.2889  5.6386  0.4588       0.6353      1.9131       2.6736           -0.1938           1.2316
heb_Hebr  2.1335   60.6038  2.8874  0.9397       1.0499      0.7163       -1.0760          -0.5683           1.8146
tam_Taml  1.8652   52.9840  7.5495  0.4451       0.4601      1.9074       2.9577           -0.1638           1.0348
tha_Thai  1.8340   52.0963  6.6712  0.5193       0.6116      1.8363       2.5044           -0.0630           1.1403
amh_Ethi  1.7540   49.8255  4.3964  0.7684       0.5794      0.8424       -0.1115          0.0404            1.0545
arb_Arab  1.4523   41.2538  4.8766  0.8797       0.5008      0.9342       0.0407           -0.0613           1.0310
srp_Cyrl  1.3396   38.0542  5.9682  0.7498       0.4929      1.3491       1.5876           0.0180            0.9839
vie_Latn  1.3103   37.2207  4.7110  0.9906       0.9049      0.8695       -0.3379          0.0820            1.2889
cmn_Hans  1.2618   35.8435  3.2811  1.6977       0.9376      0.0188       -0.6189          0.1144            1.2887
jpn_Jpan  1.2559   35.6750  4.4998  1.0776       0.8604      0.8040       -0.0783          0.2178            1.1601
kor_Hang  1.2231   34.7442  4.3568  1.1228       0.7460      0.6376       -0.1882          0.2439            1.0621
deu_Latn  1.1833   33.6128  4.4443  1.2197       1.1094      0.7183       -0.4670          0.1435            1.3786
fra_Latn  1.1139   31.6419  4.8998  1.1177       0.9373      0.6412       -0.6562          0.2015            1.2234
spa_Latn  1.1120   31.5878  4.8289  1.1670       0.9697      0.6544       -0.6474          0.1558            1.2796
ron_Latn  1.1057   31.4092  4.7548  1.1785       0.9862      0.6011       -0.7024          0.2076            1.2502
nya_Latn  1.0531   29.9157  4.7535  1.1175       0.8585      0.6255       -0.5559          0.3075            1.0904
ita_Latn  1.0420   29.5998  5.0214  1.2034       0.9079      0.5715       -0.6592          0.2041            1.2021
hrv_Latn  1.0168   28.8826  4.4148  1.3718       0.9873      0.4644       -0.7465          0.1913            1.2637
fin_Latn  1.0093   28.6710  4.8685  1.2771       0.8716      0.4791       -0.5946          0.2399            1.1511
eng_Latn  1.0000   28.4062  4.4239  1.2724       1.0397      0.5747       -0.7007          0.1582            1.3231

# eng_Latn reference (raw_monotonicity, t_0.8930, t_midpoint): pps=28.4062	bpp=4.4239
