Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
amh_Ethi  6.1184   175.7272  1.2466  2.7971       0.7736      -0.4933      -0.8052          -0.1665           1.3434
kat_Geor  4.5231   129.9087  2.8772  1.3694       1.9535      0.5694       -1.4568          -0.4103           2.3474
srp_Cyrl  4.2486   122.0251  1.8612  2.3646       1.5654      -0.0448      -1.7470          -0.6842           2.2962
nya_Latn  3.7370   107.3300  1.3249  2.3123       0.5504      -0.6023      0.4802           0.1607            0.9612
tam_Taml  3.3218   95.4072   4.1926  1.0296       0.9266      0.7842       -0.8247          -0.4460           1.6370
hrv_Latn  3.0782   88.4092   1.4423  2.2131       0.5256      -0.3455      0.2096           0.0804            0.9832
heb_Hebr  2.7710   79.5878   2.1987  1.6378       1.5518      0.1202       -1.8717          -0.7842           2.3532
tha_Thai  2.7629   79.3551   4.3796  0.9909       1.1738      1.1388       -0.2451          -0.3408           1.7742
ron_Latn  2.3867   68.5476   2.1787  1.8004       0.7836      -0.0710      -0.5917          0.1168            1.1765
fin_Latn  2.2766   65.3862   2.1348  1.8263       0.6869      -0.0217      -0.2302          0.1402            1.0868
cmn_Hans  2.1479   61.6911   1.9064  1.9290       0.8844      -0.1378      -0.4529          0.0927            1.2668
kor_Hang  1.8738   53.8175   2.8127  1.7424       0.7243      0.1995       -0.5579          0.0416            1.1782
arb_Arab  1.6870   48.4524   4.1521  1.2928       0.4725      0.5239       -0.6872          -0.3667           1.1365
vie_Latn  1.6541   47.5085   3.6908  1.3760       0.8855      0.4377       -0.8109          -0.0099           1.3374
ita_Latn  1.6427   47.1815   3.1503  1.5139       0.7974      0.2478       -0.6839          0.1650            1.1540
deu_Latn  1.4798   42.5025   3.5147  1.3996       1.0343      0.5344       -0.5527          0.1303            1.3413
fra_Latn  1.4776   42.4373   3.6533  1.3478       0.8843      0.3596       -0.8204          0.1848            1.2007
jpn_Jpan  1.4589   41.9027   3.8310  1.2989       0.8976      0.6057       -0.4848          0.1327            1.2478
spa_Latn  1.4511   41.6760   3.6600  1.3485       0.9081      0.4388       -0.7899          0.1339            1.2542
eng_Latn  1.0000   28.7212   4.3754  1.0874       1.0221      0.7462       -0.5605          0.1813            1.2937

# eng_Latn reference (raw_entropy, t_1.9185, t_midpoint): pps=28.7212	bpp=4.3754
