Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
kat_Geor  4.4851   126.4293  2.9564  1.3694       1.9535      0.5694       -1.4568          -0.4103           2.3474
tam_Taml  4.2064   118.5727  3.3735  1.0296       0.9266      0.7842       -0.8247          -0.4460           1.6370
tha_Thai  3.5017   98.7091   3.5209  0.9909       1.1738      1.1388       -0.2451          -0.3408           1.7742
srp_Cyrl  3.4879   98.3190   2.3100  2.3646       1.5654      -0.0448      -1.7470          -0.6842           2.2962
heb_Hebr  2.8000   78.9268   2.2171  1.6378       1.5518      0.1202       -1.8717          -0.7842           2.3532
amh_Ethi  2.4099   67.9308   3.2247  2.7971       0.7736      -0.4933      -0.8052          -0.1665           1.3434
arb_Arab  2.2459   63.3099   3.1777  1.2928       0.4725      0.5239       -0.6872          -0.3667           1.1365
vie_Latn  1.6854   47.5095   3.6907  1.3760       0.8855      0.4377       -0.8109          -0.0099           1.3374
kor_Hang  1.5906   44.8355   3.3762  1.7424       0.7243      0.1995       -0.5579          0.0416            1.1782
jpn_Jpan  1.5463   43.5878   3.6829  1.2989       0.8976      0.6057       -0.4848          0.1327            1.2478
cmn_Hans  1.3955   39.3380   2.9896  1.9290       0.8844      -0.1378      -0.4529          0.0927            1.2668
deu_Latn  1.3608   38.3581   3.8945  1.3996       1.0343      0.5344       -0.5527          0.1303            1.3413
ron_Latn  1.3235   37.3079   4.0030  1.8004       0.7836      -0.0710      -0.5917          0.1168            1.1765
fra_Latn  1.2900   36.3641   4.2635  1.3478       0.8843      0.3596       -0.8204          0.1848            1.2007
spa_Latn  1.2664   35.6981   4.2729  1.3485       0.9081      0.4388       -0.7899          0.1339            1.2542
ita_Latn  1.2126   34.1815   4.3484  1.5139       0.7974      0.2478       -0.6839          0.1650            1.1540
fin_Latn  1.1273   31.7773   4.3926  1.8263       0.6869      -0.0217      -0.2302          0.1402            1.0868
hrv_Latn  1.0101   28.4744   4.4781  2.2131       0.5256      -0.3455      0.2096           0.0804            0.9832
eng_Latn  1.0000   28.1886   4.4581  1.0874       1.0221      0.7462       -0.5605          0.1813            1.2937
nya_Latn  0.9962   28.0812   5.0640  2.3123       0.5504      -0.6023      0.4802           0.1607            0.9612

# eng_Latn reference (raw_monotonicity, t_0.7825, t_midpoint): pps=28.1886	bpp=4.4581
