Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
tam_Taml  4.4717   127.5948  3.1349  0.9420       0.8825      0.9868       -0.3462          -0.4326           1.5901
amh_Ethi  4.4690   127.5155  1.7179  1.8403       1.4211      0.2600       -1.2062          -0.2698           1.8998
kat_Geor  4.2489   121.2357  3.0831  1.0252       1.4203      0.7729       -1.0954          -0.4191           2.0078
tha_Thai  3.9584   112.9468  3.0771  1.0855       1.2734      0.9295       -0.7394          -0.3830           1.8768
heb_Hebr  2.7788   79.2879   2.2070  1.5414       1.3086      0.0834       -1.6976          -0.7878           2.1631
arb_Arab  2.4854   70.9178   2.8368  1.4220       0.4727      0.2610       -0.8248          -0.3061           1.1112
srp_Cyrl  2.2743   64.8937   3.4998  0.9227       0.5412      1.0944       0.8799           0.0327            1.0233
jpn_Jpan  1.7566   50.1234   3.2027  1.1858       0.9391      0.7138       -0.2931          0.2205            1.2099
kor_Hang  1.7351   49.5095   3.0574  1.3217       0.8134      0.4488       -0.5038          0.2394            1.1123
vie_Latn  1.6172   46.1434   3.8000  1.1031       0.9569      0.7796       -0.4069          0.0860            1.3225
cmn_Hans  1.5773   45.0070   2.6131  1.7606       1.0237      -0.0501      -0.7676          0.1488            1.3201
ron_Latn  1.4696   41.9318   3.5616  1.4375       1.0281      0.3213       -0.8621          0.2398            1.2503
nya_Latn  1.4608   41.6810   3.4117  2.1927       0.6108      -0.5292      0.4067           0.2042            0.9860
deu_Latn  1.3889   39.6299   3.7695  1.1592       1.1120      0.7765       -0.4131          0.1699            1.3587
fin_Latn  1.3881   39.6088   3.5241  1.6024       0.8576      0.1382       -0.6255          0.2446            1.1382
spa_Latn  1.3658   38.9719   3.9140  1.1121       0.9784      0.7064       -0.5953          0.1998            1.2513
fra_Latn  1.3435   38.3340   4.0444  1.0405       0.9343      0.7433       -0.4993          0.2463            1.1868
hrv_Latn  1.3289   37.9188   3.3628  1.7297       0.8866      0.1448       -0.6617          0.1772            1.2079
ita_Latn  1.3273   37.8736   3.9245  1.1999       0.9214      0.5707       -0.6309          0.2375            1.1854
eng_Latn  1.0000   28.5336   4.4042  0.8154       0.9091      1.1148       0.1349           0.1933            1.2111

# eng_Latn reference (raw_monotonicity, t_0.5899, t_midpoint): pps=28.5336	bpp=4.4042
