Language  Premium  PPS       BPP
tam_Taml  4.8076   146.4895  2.7306
amh_Ethi  4.2483   129.4483  1.6922
kat_Geor  4.0012   121.9178  3.0658
tha_Thai  3.8893   118.5085  2.9327
heb_Hebr  2.6285   80.0913   2.1849
arb_Arab  2.5725   78.3842   2.5666
srp_Cyrl  2.4718   75.3180   3.0154
jpn_Jpan  1.8197   55.4473   2.8952
kor_Hang  1.7991   54.8205   2.7612
vie_Latn  1.6264   49.5577   3.5382
nya_Latn  1.5766   48.0401   2.9601
cmn_Hans  1.5726   47.9178   2.4543
ron_Latn  1.5043   45.8365   3.2582
fin_Latn  1.4371   43.7904   3.1875
spa_Latn  1.4123   43.0321   3.5447
deu_Latn  1.4056   42.8305   3.4878
ita_Latn  1.3759   41.9238   3.5453
hrv_Latn  1.3681   41.6851   3.0590
fra_Latn  1.3636   41.5486   3.7315
eng_Latn  1.0000   30.4704   4.1242

# eng_Latn reference (combined, t_0.4688, t_midpoint): pps=30.4704	bpp=4.1242
