Language  Premium  PPS      BPP
heb_Hebr  1.9109   55.1053  3.1755
tha_Thai  1.6452   47.4443  7.3253
kat_Geor  1.6003   46.1494  8.0993
tam_Taml  1.5500   44.6981  8.9489
arb_Arab  1.5420   44.4684  4.5241
cmn_Hans  1.4636   42.2066  2.7865
amh_Ethi  1.3974   40.2979  5.4358
jpn_Jpan  1.2717   36.6720  4.3774
vie_Latn  1.2305   35.4835  4.9416
deu_Latn  1.1383   32.8265  4.5507
kor_Hang  1.1277   32.5206  4.6547
srp_Cyrl  1.1193   32.2778  7.0363
spa_Latn  1.1085   31.9659  4.7718
nya_Latn  1.0790   31.1163  4.5701
ita_Latn  1.0782   31.0933  4.7803
fra_Latn  1.0711   30.8867  5.0196
ron_Latn  1.0620   30.6259  4.8764
hrv_Latn  1.0503   30.2889  4.2099
fin_Latn  1.0157   29.2909  4.7654
eng_Latn  1.0000   28.8375  4.3578

# eng_Latn reference (combined, t_0.6094, t_midpoint): pps=28.8375	bpp=4.3578
