Language  Premium  PPS      BPP
kat_Geor  2.2232   63.9840  5.8418
tam_Taml  2.1768   62.6479  6.3849
tha_Thai  2.0390   58.6841  5.9223
amh_Ethi  1.8825   54.1775  4.0432
heb_Hebr  1.7140   49.3300  3.5473
arb_Arab  1.5910   45.7894  4.3936
srp_Cyrl  1.3054   37.5687  6.0454
vie_Latn  1.2795   36.8235  4.7618
fra_Latn  1.2108   34.8485  4.4489
jpn_Jpan  1.2045   34.6650  4.6309
nya_Latn  1.2000   34.5376  4.1174
spa_Latn  1.1873   34.1695  4.4641
ron_Latn  1.1806   33.9769  4.3955
ita_Latn  1.1686   33.6339  4.4192
deu_Latn  1.0993   31.6379  4.7217
fin_Latn  1.0084   29.0211  4.8097
kor_Hang  1.0034   28.8776  5.2418
eng_Latn  1.0000   28.7803  4.3664
hrv_Latn  0.9976   28.7121  4.4411
cmn_Hans  0.8693   25.0201  4.7005

# eng_Latn reference (norm_entropy, t_0.8271, t_midpoint): pps=28.7803	bpp=4.3664
