Language  Premium  PPS      BPP
heb_Hebr  1.3813   40.1274  4.3608
cmn_Hans  1.2271   35.6469  3.2992
hrv_Latn  1.0689   31.0522  4.1064
spa_Latn  1.0560   30.6780  4.9721
deu_Latn  1.0514   30.5446  4.8907
ita_Latn  1.0461   30.3902  4.8909
ron_Latn  1.0453   30.3651  4.9183
eng_Latn  1.0000   29.0502  4.3259
fra_Latn  0.9937   28.8686  5.3705
vie_Latn  0.9892   28.7352  6.1021
kat_Geor  0.9814   28.5105  13.1102
tha_Thai  0.9787   28.4303  12.2244
nya_Latn  0.9273   26.9378  5.2790
fin_Latn  0.8953   26.0100  5.3665
tam_Taml  0.8056   23.4032  17.0917
jpn_Jpan  0.7807   22.6790  7.0783
kor_Hang  0.7059   20.5055  7.3820
arb_Arab  0.5753   16.7131  12.0372
srp_Cyrl  0.5576   16.1986  14.0207
amh_Ethi  0.4670   13.5657  16.1476

# eng_Latn reference (raw_entropy, t_2.0928, t_midpoint): pps=29.0502	bpp=4.3259
