Language  Premium  PPS      BPP
heb_Hebr  1.9299   55.7553  3.1385
kat_Geor  1.7605   50.8626  7.3488
tha_Thai  1.6666   48.1494  7.2180
arb_Arab  1.6133   46.6088  4.3163
tam_Taml  1.5854   45.8024  8.7332
amh_Ethi  1.5704   45.3711  4.8280
cmn_Hans  1.4356   41.4744  2.8356
jpn_Jpan  1.2827   37.0582  4.3318
srp_Cyrl  1.2738   36.8014  6.1714
vie_Latn  1.2637   36.5085  4.8029
kor_Hang  1.2602   36.4092  4.1575
deu_Latn  1.1627   33.5908  4.4472
spa_Latn  1.1058   31.9468  4.7747
fra_Latn  1.0824   31.2708  4.9579
nya_Latn  1.0764   31.0983  4.5727
ron_Latn  1.0721   30.9729  4.8218
ita_Latn  1.0584   30.5777  4.8609
hrv_Latn  1.0370   29.9609  4.2560
fin_Latn  1.0320   29.8154  4.6816
eng_Latn  1.0000   28.8907  4.3497

# eng_Latn reference (combined, t_0.6328, t_midpoint): pps=28.8907	bpp=4.3497
