Language  Premium  PPS      BPP
heb_Hebr  1.3925   40.4373  4.3274
cmn_Hans  1.2587   36.5517  3.2176
deu_Latn  1.0865   31.5507  4.7347
hrv_Latn  1.0755   31.2337  4.0825
spa_Latn  1.0647   30.9198  4.9333
ron_Latn  1.0540   30.6078  4.8793
ita_Latn  1.0350   30.0572  4.9450
vie_Latn  1.0144   29.4574  5.9525
fra_Latn  1.0082   29.2788  5.2952
eng_Latn  1.0000   29.0401  4.3274
kat_Geor  0.9898   28.7452  13.0032
tha_Thai  0.9748   28.3079  12.2773
nya_Latn  0.9455   27.4564  5.1793
fin_Latn  0.9364   27.1936  5.1330
jpn_Jpan  0.7934   23.0401  6.9674
tam_Taml  0.7930   23.0281  17.3701
kor_Hang  0.7148   20.7573  7.2925
arb_Arab  0.5949   17.2768  11.6445
srp_Cyrl  0.5595   16.2467  13.9792
amh_Ethi  0.4789   13.9067  15.7516

# eng_Latn reference (raw_entropy, t_2.1047, t_midpoint): pps=29.0401	bpp=4.3274
