Language  Premium  PPS       BPP
kat_Geor  4.3352   127.6650  2.9278
tam_Taml  4.1947   123.5276  3.2382
tha_Thai  3.4105   100.4333  3.4605
srp_Cyrl  3.3951   99.9799   2.2716
heb_Hebr  2.6839   79.0361   2.2140
amh_Ethi  2.5148   74.0552   2.9580
arb_Arab  2.4311   71.5918   2.8101
kor_Hang  1.7616   51.8756   2.9180
vie_Latn  1.7147   50.4945   3.4726
jpn_Jpan  1.6186   47.6640   3.3679
cmn_Hans  1.5089   44.4343   2.6468
ron_Latn  1.4964   44.0672   3.3890
deu_Latn  1.4358   42.2808   3.5331
fra_Latn  1.3628   40.1334   3.8631
ita_Latn  1.3513   39.7924   3.7352
spa_Latn  1.3402   39.4674   3.8649
fin_Latn  1.3260   39.0471   3.5747
nya_Latn  1.3100   38.5777   3.6862
hrv_Latn  1.2720   37.4574   3.4042
eng_Latn  1.0000   29.4483   4.2674

# eng_Latn reference (combined, t_0.5742, t_midpoint): pps=29.4483	bpp=4.2674
