Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
cmn_Hans  1.7263   39.7683  2.1276   2.3793       3.0629      0.0901       -1.4547          -0.5768           3.1080
amh_Ethi  1.4121   32.5286  5.2496   0.9748       1.6055      1.1122       -0.1994          -0.4337           2.1456
kor_Hang  1.3870   31.9509  3.9561   1.3352       2.4514      1.0009       -0.3006          -0.3564           2.5788
vie_Latn  1.3730   31.6289  8.3713   0.6781       1.0269      1.3161       0.2881           -0.3796           1.6833
jpn_Jpan  1.3670   31.4895  3.4820   1.5129       2.4909      0.7702       -0.6797          -0.3865           2.6282
tha_Thai  1.2951   29.8345  8.0866   0.6999       1.0716      1.2526       0.0887           -0.3795           1.7195
heb_Hebr  1.2025   27.7011  7.0607   0.8497       1.0971      0.8489       -0.7852          -0.5711           1.8567
spa_Latn  1.1490   26.4694  11.3063  0.6397       0.8771      1.3906       0.7740           -0.4361           1.5872
arb_Arab  1.1048   25.4493  8.7159   0.8017       0.9955      0.9394       -0.6065          -0.4942           1.7248
deu_Latn  1.0856   25.0070  11.7566  0.6561       0.9530      1.4971       1.2324           -0.4008           1.6340
ron_Latn  1.0837   24.9639  11.3337  0.6803       0.9307      1.3145       0.5906           -0.4576           1.6472
ita_Latn  1.0681   24.6048  11.9922  0.6621       0.8731      1.3087       0.5992           -0.4730           1.6037
hrv_Latn  1.0474   24.1284  10.2984  0.7494       1.0075      1.2103       0.3656           -0.5034           1.7405
fra_Latn  1.0310   23.7492  12.5677  0.6226       0.8492      1.4120       0.8781           -0.4117           1.5485
eng_Latn  1.0000   23.0361  10.9021  0.6780       0.9735      1.3851       0.7900           -0.4377           1.6731
srp_Cyrl  0.9512   21.9117  11.3984  0.6790       0.9192      1.3521       0.7578           -0.4556           1.6358
kat_Geor  0.9400   21.6540  12.7790  0.6001       0.8257      1.5011       1.1545           -0.3815           1.5104
tam_Taml  0.9075   20.9057  14.0218  0.5854       0.7546      1.3891       0.7653           -0.4168           1.4623
fin_Latn  0.8211   18.9157  14.2038  0.6919       0.8801      1.2118       0.3999           -0.5156           1.6334
nya_Latn  0.7861   18.1083  15.6710  0.6086       0.7830      1.3858       0.8411           -0.4386           1.5010

# eng_Latn reference (raw_entropy, t_2.4482, t_upper_bound): pps=23.0361	bpp=10.9021
