Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
amh_Ethi  1.3207   30.3400  5.6283   0.9748       1.6055      1.1122       -0.1994          -0.4337           2.1456
vie_Latn  1.2894   29.6199  8.9391   0.6781       1.0269      1.3161       0.2881           -0.3796           1.6833
tha_Thai  1.2587   28.9137  8.3441   0.6999       1.0716      1.2526       0.0887           -0.3795           1.7195
cmn_Hans  1.1650   26.7623  3.1616   2.3793       3.0629      0.0901       -1.4547          -0.5768           3.1080
spa_Latn  1.1344   26.0582  11.4848  0.6397       0.8771      1.3906       0.7740           -0.4361           1.5872
heb_Hebr  1.1134   25.5767  7.6471   0.8497       1.0971      0.8489       -0.7852          -0.5711           1.8567
kor_Hang  1.0963   25.1846  5.0190   1.3352       2.4514      1.0009       -0.3006          -0.3564           2.5788
jpn_Jpan  1.0886   25.0080  4.3844   1.5129       2.4909      0.7702       -0.6797          -0.3865           2.6282
deu_Latn  1.0823   24.8636  11.8244  0.6561       0.9530      1.4971       1.2324           -0.4008           1.6340
ron_Latn  1.0727   24.6409  11.4822  0.6803       0.9307      1.3145       0.5906           -0.4576           1.6472
ita_Latn  1.0553   24.2427  12.1713  0.6621       0.8731      1.3087       0.5992           -0.4730           1.6037
hrv_Latn  1.0270   23.5928  10.5322  0.7494       1.0075      1.2103       0.3656           -0.5034           1.7405
fra_Latn  1.0103   23.2096  12.8599  0.6226       0.8492      1.4120       0.8781           -0.4117           1.5485
eng_Latn  1.0000   22.9719  10.9325  0.6780       0.9735      1.3851       0.7900           -0.4377           1.6731
arb_Arab  0.9844   22.6128  9.8092   0.8017       0.9955      0.9394       -0.6065          -0.4942           1.7248
srp_Cyrl  0.9537   21.9087  11.4000  0.6790       0.9192      1.3521       0.7578           -0.4556           1.6358
kat_Geor  0.9410   21.6169  12.8009  0.6001       0.8257      1.5011       1.1545           -0.3815           1.5104
tam_Taml  0.8675   19.9288  14.7091  0.5854       0.7546      1.3891       0.7653           -0.4168           1.4623
fin_Latn  0.8083   18.5687  14.4693  0.6919       0.8801      1.2118       0.3999           -0.5156           1.6334
nya_Latn  0.7459   17.1354  16.5608  0.6086       0.7830      1.3858       0.8411           -0.4386           1.5010

# eng_Latn reference (raw_monotonicity, t_2.4789, t_upper_bound): pps=22.9719	bpp=10.9325
