Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
heb_Hebr  1.2823   29.4824  5.9354   0.9397       1.0499      0.7163       -1.0760          -0.5683           1.8146
cmn_Hans  1.1026   25.3501  4.6393   1.6977       0.9376      0.0188       -0.6189          0.1144            1.2887
spa_Latn  1.0943   25.1595  6.0627   1.1670       0.9697      0.6544       -0.6474          0.1558            1.2796
deu_Latn  1.0895   25.0481  5.9639   1.2197       1.1094      0.7183       -0.4670          0.1435            1.3786
vie_Latn  1.0808   24.8485  7.0566   0.9906       0.9049      0.8695       -0.3379          0.0820            1.2889
hrv_Latn  1.0609   24.3912  5.2278   1.3718       0.9873      0.4644       -0.7465          0.1913            1.2637
ron_Latn  1.0523   24.1926  6.1731   1.1785       0.9862      0.6011       -0.7024          0.2076            1.2502
ita_Latn  1.0276   23.6249  6.2914   1.2034       0.9079      0.5715       -0.6592          0.2041            1.2021
kat_Geor  1.0079   23.1735  16.1296  0.4588       0.6353      1.9131       2.6736           -0.1938           1.2316
fra_Latn  1.0065   23.1414  6.6996   1.1177       0.9373      0.6412       -0.6562          0.2015            1.2234
eng_Latn  1.0000   22.9910  5.4659   1.2724       1.0397      0.5747       -0.7007          0.1582            1.3231
tha_Thai  0.9707   22.3180  15.5724  0.5193       0.6116      1.8363       2.5044           -0.0630           1.1403
fin_Latn  0.8518   19.5838  7.1275   1.2771       0.8716      0.4791       -0.5946          0.2399            1.1511
nya_Latn  0.7647   17.5817  8.0881   1.1175       0.8585      0.6255       -0.5559          0.3075            1.0904
tam_Taml  0.7234   16.6309  24.0517  0.4451       0.4601      1.9074       2.9577           -0.1638           1.0348
jpn_Jpan  0.6969   16.0221  10.0193  1.0776       0.8604      0.8040       -0.0783          0.2178            1.1601
kor_Hang  0.6871   15.7964  9.5827   1.1228       0.7460      0.6376       -0.1882          0.2439            1.0621
srp_Cyrl  0.5150   11.8395  19.1829  0.7498       0.4929      1.3491       1.5876           0.0180            0.9839
arb_Arab  0.4226   9.7151   20.7078  0.8797       0.5008      0.9342       0.0407           -0.0613           1.0310
amh_Ethi  0.3773   8.6750   25.2510  0.7684       0.5794      0.8424       -0.1115          0.0404            1.0545

# eng_Latn reference (raw_entropy, t_2.4004, t_upper_bound): pps=22.9910	bpp=5.4659
