Language  Premium  PPS      BPP      EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
heb_Hebr  2.3422   53.7924  3.2530   0.9397       1.0499      0.7163       -1.0760          -0.5683           1.8146
kat_Geor  2.2406   51.4594  7.2636   0.4588       0.6353      1.9131       2.6736           -0.1938           1.2316
tha_Thai  1.7666   40.5727  8.5660   0.5193       0.6116      1.8363       2.5044           -0.0630           1.1403
tam_Taml  1.6736   38.4383  10.4063  0.4451       0.4601      1.9074       2.9577           -0.1638           1.0348
amh_Ethi  1.3481   30.9609  7.0752   0.7684       0.5794      0.8424       -0.1115          0.0404            1.0545
vie_Latn  1.3376   30.7202  5.7078   0.9906       0.9049      0.8695       -0.3379          0.0820            1.2889
deu_Latn  1.1543   26.5105  5.6349   1.2197       1.1094      0.7183       -0.4670          0.1435            1.3786
fra_Latn  1.1004   25.2718  6.1348   1.1177       0.9373      0.6412       -0.6562          0.2015            1.2234
spa_Latn  1.1002   25.2678  6.0368   1.1670       0.9697      0.6544       -0.6474          0.1558            1.2796
cmn_Hans  1.0589   24.3200  4.8358   1.6977       0.9376      0.0188       -0.6189          0.1144            1.2887
ron_Latn  1.0492   24.0963  6.1978   1.1785       0.9862      0.6011       -0.7024          0.2076            1.2502
jpn_Jpan  1.0340   23.7482  6.7596   1.0776       0.8604      0.8040       -0.0783          0.2178            1.1601
arb_Arab  1.0191   23.4052  8.5955   0.8797       0.5008      0.9342       0.0407           -0.0613           1.0310
ita_Latn  1.0053   23.0883  6.4376   1.2034       0.9079      0.5715       -0.6592          0.2041            1.2021
eng_Latn  1.0000   22.9669  5.4717   1.2724       1.0397      0.5747       -0.7007          0.1582            1.3231
hrv_Latn  0.9507   21.8345  5.8400   1.3718       0.9873      0.4644       -0.7465          0.1913            1.2637
fin_Latn  0.9200   21.1294  6.6061   1.2771       0.8716      0.4791       -0.5946          0.2399            1.1511
srp_Cyrl  0.9067   20.8245  10.9062  0.7498       0.4929      1.3491       1.5876           0.0180            0.9839
kor_Hang  0.8677   19.9288  7.5957   1.1228       0.7460      0.6376       -0.1882          0.2439            1.0621
nya_Latn  0.8507   19.5376  7.2785   1.1175       0.8585      0.6255       -0.5559          0.3075            1.0904

# eng_Latn reference (raw_monotonicity, t_1.2668, t_upper_bound): pps=22.9669	bpp=5.4717
