Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
amh_Ethi  6.7304   154.9819  1.4134  2.7971       0.7736      -0.4933      -0.8052          -0.1665           1.3434
kat_Geor  5.4951   126.5366  2.9539  1.3694       1.9535      0.5694       -1.4568          -0.4103           2.3474
srp_Cyrl  5.1278   118.0782  1.9234  2.3646       1.5654      -0.0448      -1.7470          -0.6842           2.2962
nya_Latn  3.8037   87.5888   1.6235  2.3123       0.5504      -0.6023      0.4802           0.1607            0.9612
tam_Taml  3.4966   80.5155   4.9680  1.0296       0.9266      0.7842       -0.8247          -0.4460           1.6370
heb_Hebr  3.4418   79.2558   2.2079  1.6378       1.5518      0.1202       -1.8717          -0.7842           2.3532
tha_Thai  2.9535   68.0110   5.1101  0.9909       1.1738      1.1388       -0.2451          -0.3408           1.7742
hrv_Latn  2.8733   66.1635   1.9272  2.2131       0.5256      -0.3455      0.2096           0.0804            0.9832
ron_Latn  2.0922   48.1775   3.0999  1.8004       0.7836      -0.0710      -0.5917          0.1168            1.1765
fin_Latn  1.9090   43.9579   3.1754  1.8263       0.6869      -0.0217      -0.2302          0.1402            1.0868
kor_Hang  1.8505   42.6118   3.5523  1.7424       0.7243      0.1995       -0.5579          0.0416            1.1782
cmn_Hans  1.7469   40.2267   2.9236  1.9290       0.8844      -0.1378      -0.4529          0.0927            1.2668
vie_Latn  1.6650   38.3400   4.5734  1.3760       0.8855      0.4377       -0.8109          -0.0099           1.3374
ita_Latn  1.5034   34.6179   4.2936  1.5139       0.7974      0.2478       -0.6839          0.1650            1.1540
spa_Latn  1.4442   33.2558   4.5867  1.3485       0.9081      0.4388       -0.7899          0.1339            1.2542
deu_Latn  1.4195   32.6871   4.5701  1.3996       1.0343      0.5344       -0.5527          0.1303            1.3413
fra_Latn  1.4109   32.4895   4.7719  1.3478       0.8843      0.3596       -0.8204          0.1848            1.2007
jpn_Jpan  1.2723   29.2969   5.4794  1.2989       0.8976      0.6057       -0.4848          0.1327            1.2478
arb_Arab  1.0285   23.6830   8.4947  1.2928       0.4725      0.5239       -0.6872          -0.3667           1.1365
eng_Latn  1.0000   23.0271   5.4574  1.0874       1.0221      0.7462       -0.5605          0.1813            1.2937

# eng_Latn reference (raw_entropy, t_2.2090, t_upper_bound): pps=23.0271	bpp=5.4574
