Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
kat_Geor  5.3407   123.0883  3.0367  1.3694       1.9535      0.5694       -1.4568          -0.4103           2.3474
tam_Taml  4.2417   97.7583   4.0917  1.0296       0.9266      0.7842       -0.8247          -0.4460           1.6370
srp_Cyrl  4.1477   95.5928   2.3759  2.3646       1.5654      -0.0448      -1.7470          -0.6842           2.2962
tha_Thai  3.8990   89.8596   3.8676  0.9909       1.1738      1.1388       -0.2451          -0.3408           1.7742
heb_Hebr  3.4156   78.7202   2.2229  1.6378       1.5518      0.1202       -1.8717          -0.7842           2.3532
amh_Ethi  2.4115   55.5787   3.9413  2.7971       0.7736      -0.4933      -0.8052          -0.1665           1.3434
arb_Arab  1.7791   41.0030   4.9065  1.2928       0.4725      0.5239       -0.6872          -0.3667           1.1365
vie_Latn  1.7445   40.2056   4.3612  1.3760       0.8855      0.4377       -0.8109          -0.0099           1.3374
jpn_Jpan  1.4195   32.7161   4.9067  1.2989       0.8976      0.6057       -0.4848          0.1327            1.2478
kor_Hang  1.3811   31.8295   4.7557  1.7424       0.7243      0.1995       -0.5579          0.0416            1.1782
deu_Latn  1.2920   29.7763   5.0169  1.3996       1.0343      0.5344       -0.5527          0.1303            1.3413
cmn_Hans  1.2265   28.2678   4.1605  1.9290       0.8844      -0.1378      -0.4529          0.0927            1.2668
fra_Latn  1.2094   27.8726   5.5624  1.3478       0.8843      0.3596       -0.8204          0.1848            1.2007
spa_Latn  1.1978   27.6068   5.5253  1.3485       0.9081      0.4388       -0.7899          0.1339            1.2542
ron_Latn  1.1518   26.5466   5.6257  1.8004       0.7836      -0.0710      -0.5917          0.1168            1.1765
ita_Latn  1.0752   24.7803   5.9981  1.5139       0.7974      0.2478       -0.6839          0.1650            1.1540
eng_Latn  1.0000   23.0471   5.4526  1.0874       1.0221      0.7462       -0.5605          0.1813            1.2937
fin_Latn  0.9429   21.7312   6.4232  1.8263       0.6869      -0.0217      -0.2302          0.1402            1.0868
hrv_Latn  0.7065   16.2818   7.8316  2.2131       0.5256      -0.3455      0.2096           0.0804            0.9832
nya_Latn  0.6720   15.4875   9.1819  2.3123       0.5504      -0.6023      0.4802           0.1607            0.9612

# eng_Latn reference (raw_monotonicity, t_1.1422, t_upper_bound): pps=23.0471	bpp=5.4526
