Language  Premium  PPS       BPP     EntropyMean  EntropyVar  EntropySkew  EntropyKurtosis  EntropyAutocorr1  EntropyVolatility
kat_Geor  5.1750   119.0461  3.1398  1.0252       1.4203      0.7729       -1.0954          -0.4191           2.0078
amh_Ethi  4.8713   112.0592  1.9548  1.8403       1.4211      0.2600       -1.2062          -0.2698           1.8998
tha_Thai  4.5624   104.9539  3.3114  1.0855       1.2734      0.9295       -0.7394          -0.3830           1.8768
tam_Taml  4.0802   93.8616   4.2616  0.9420       0.8825      0.9868       -0.3462          -0.4326           1.5901
heb_Hebr  3.3328   76.6680   2.2824  1.5414       1.3086      0.0834       -1.6976          -0.7878           2.1631
arb_Arab  2.1805   50.1605   4.0107  1.4220       0.4727      0.2610       -0.8248          -0.3061           1.1112
srp_Cyrl  1.7183   39.5286   5.7456  0.9227       0.5412      1.0944       0.8799           0.0327            1.0233
vie_Latn  1.6371   37.6600   4.6560  1.1031       0.9569      0.7796       -0.4069          0.0860            1.3225
jpn_Jpan  1.5540   35.7482   4.4906  1.1858       0.9391      0.7138       -0.2931          0.2205            1.2099
cmn_Hans  1.5247   35.0742   3.3531  1.7606       1.0237      -0.0501      -0.7676          0.1488            1.3201
kor_Hang  1.4939   34.3651   4.4048  1.3217       0.8134      0.4488       -0.5038          0.2394            1.1123
ron_Latn  1.3874   31.9168   4.6792  1.4375       1.0281      0.3213       -0.8621          0.2398            1.2503
deu_Latn  1.3772   31.6800   4.7154  1.1592       1.1120      0.7765       -0.4131          0.1699            1.3587
spa_Latn  1.2892   29.6560   5.1435  1.1121       0.9784      0.7064       -0.5953          0.1998            1.2513
fra_Latn  1.2847   29.5527   5.2462  1.0405       0.9343      0.7433       -0.4993          0.2463            1.1868
fin_Latn  1.2552   28.8746   4.8341  1.6024       0.8576      0.1382       -0.6255          0.2446            1.1382
hrv_Latn  1.2303   28.3009   4.5056  1.7297       0.8866      0.1448       -0.6617          0.1772            1.2079
ita_Latn  1.2247   28.1735   5.2757  1.1999       0.9214      0.5707       -0.6309          0.2375            1.1854
nya_Latn  1.0363   23.8385   5.9653  2.1927       0.6108      -0.5292      0.4067           0.2042            0.9860
eng_Latn  1.0000   23.0040   5.4628  0.8154       0.9091      1.1148       0.1349           0.1933            1.2111

# eng_Latn reference (raw_monotonicity, t_0.9439, t_upper_bound): pps=23.0040	bpp=5.4628
