Language  Premium  PPS       BPP
kat_Geor  5.1647   119.0843  3.1388
amh_Ethi  4.8758   112.4213  1.9485
tha_Thai  4.5270   104.3791  3.3296
tam_Taml  4.0843   94.1725   4.2475
heb_Hebr  3.3274   76.7212   2.2808
arb_Arab  2.1924   50.5496   3.9798
srp_Cyrl  1.7316   39.9248   5.6886
vie_Latn  1.6371   37.7462   4.6454
jpn_Jpan  1.5375   35.4504   4.5283
cmn_Hans  1.5243   35.1464   3.3462
kor_Hang  1.5025   34.6429   4.3695
ron_Latn  1.3893   32.0341   4.6620
deu_Latn  1.3791   31.7984   4.6979
spa_Latn  1.2902   29.7482   5.1275
fra_Latn  1.2860   29.6520   5.2286
fin_Latn  1.2550   28.9378   4.8236
hrv_Latn  1.2329   28.4273   4.4856
ita_Latn  1.2276   28.3059   5.2510
nya_Latn  1.0456   24.1093   5.8983
eng_Latn  1.0000   23.0572   5.4502

# eng_Latn reference (combined, t_0.9375, t_upper_bound): pps=23.0572	bpp=5.4502
