Language  Premium  PPS      BPP
kat_Geor  4.2206   96.7994  3.8614
tam_Taml  3.6131   82.8666  4.8270
tha_Thai  3.4511   79.1494  4.3910
amh_Ethi  2.3578   54.0762  4.0508
heb_Hebr  2.2166   50.8365  3.4422
arb_Arab  1.6778   38.4804  5.2281
srp_Cyrl  1.4922   34.2227  6.6364
vie_Latn  1.3676   31.3651  5.5905
spa_Latn  1.2637   28.9829  5.2629
fra_Latn  1.2383   28.4002  5.4590
ita_Latn  1.2068   27.6780  5.3701
ron_Latn  1.1814   27.0963  5.5116
deu_Latn  1.1572   26.5396  5.6287
jpn_Jpan  1.1252   25.8064  6.2205
kor_Hang  1.0832   24.8425  6.0933
eng_Latn  1.0000   22.9348  5.4793
hrv_Latn  0.9543   21.8867  5.8260
fin_Latn  0.9201   21.1013  6.6149
cmn_Hans  0.8978   20.5918  5.7113
nya_Latn  0.8394   19.2508  7.3869

# eng_Latn reference (norm_entropy, t_1.0371, t_upper_bound): pps=22.9348	bpp=5.4793
