Language  Premium  PPS       BPP
kat_Geor  5.1885   119.0070  3.1408
amh_Ethi  4.8720   111.7472  1.9603
tha_Thai  4.5722   104.8726  3.3140
tam_Taml  4.0820   93.6279   4.2722
heb_Hebr  3.3403   76.6169   2.2839
arb_Arab  2.1705   49.7854   4.0409
srp_Cyrl  1.7075   39.1645   5.7990
vie_Latn  1.6374   37.5567   4.6688
jpn_Jpan  1.5501   35.5547   4.5150
cmn_Hans  1.5231   34.9348   3.3665
kor_Hang  1.4892   34.1575   4.4316
ron_Latn  1.3855   31.7793   4.6994
deu_Latn  1.3769   31.5807   4.7302
spa_Latn  1.2878   29.5376   5.1641
fra_Latn  1.2827   29.4203   5.2698
fin_Latn  1.2514   28.7041   4.8628
hrv_Latn  1.2277   28.1605   4.5281
ita_Latn  1.2236   28.0652   5.2960
nya_Latn  1.0277   23.5717   6.0328
eng_Latn  1.0000   22.9368   5.4788

# eng_Latn reference (raw_monotonicity, t_0.9496, t_upper_bound): pps=22.9368	bpp=5.4788
