Language  Premium  PPS      BPP
heb_Hebr  2.3332   53.6048  3.2644
kat_Geor  1.9911   45.7442  8.1711
tha_Thai  1.9262   44.2538  7.8534
tam_Taml  1.6874   38.7683  10.3177
vie_Latn  1.3634   31.3230  5.5980
cmn_Hans  1.1606   26.6650  4.4105
amh_Ethi  1.1531   26.4915  8.2688
arb_Arab  1.1519   26.4654  7.6016
jpn_Jpan  1.1504   26.4293  6.0739
deu_Latn  1.1467   26.3450  5.6703
spa_Latn  1.1124   25.5577  5.9683
fra_Latn  1.1000   25.2728  6.1346
ron_Latn  1.0581   24.3089  6.1436
ita_Latn  1.0021   23.0231  6.4559
eng_Latn  1.0000   22.9749  5.4697
hrv_Latn  0.9613   22.0853  5.7737
fin_Latn  0.9305   21.3781  6.5293
nya_Latn  0.9104   20.9168  6.7986
srp_Cyrl  0.9007   20.6941  10.9749
kor_Hang  0.8495   19.5165  7.7561

# eng_Latn reference (combined, t_1.2188, t_upper_bound): pps=22.9749	bpp=5.4697
