Language  Premium  PPS      BPP
tam_Taml  2.3465   53.9027  7.4208
kat_Geor  2.3210   53.3170  7.0105
tha_Thai  2.1860   50.2156  6.9210
heb_Hebr  1.8363   42.1836  4.1483
arb_Arab  1.6501   37.9057  5.3074
amh_Ethi  1.4094   32.3771  6.7657
vie_Latn  1.3459   30.9178  5.6713
srp_Cyrl  1.3097   30.0853  7.5491
spa_Latn  1.2411   28.5105  5.3501
fra_Latn  1.2107   27.8114  5.5746
ron_Latn  1.1864   27.2528  5.4800
ita_Latn  1.1683   26.8385  5.5381
nya_Latn  1.1287   25.9288  5.4844
jpn_Jpan  1.0981   25.2257  6.3637
deu_Latn  1.0916   25.0762  5.9572
eng_Latn  1.0000   22.9719  5.4705
kor_Hang  0.9969   22.9017  6.6096
hrv_Latn  0.9887   22.7131  5.6140
fin_Latn  0.9321   21.4122  6.5189
cmn_Hans  0.8930   20.5135  5.7331

# eng_Latn reference (norm_entropy, t_1.0859, t_upper_bound): pps=22.9719	bpp=5.4705
