Language  Premium  PPS      BPP
heb_Hebr  2.3111   52.9930  3.3021
kat_Geor  2.1524   49.3531  7.5736
tha_Thai  1.7441   39.9930  8.6901
tam_Taml  1.6450   37.7192  10.6047
vie_Latn  1.3052   29.9278  5.8589
amh_Ethi  1.2517   28.7021  7.6320
deu_Latn  1.1553   26.4915  5.6390
spa_Latn  1.0880   24.9468  6.1144
fra_Latn  1.0807   24.7813  6.2562
cmn_Hans  1.0462   23.9900  4.9023
ron_Latn  1.0441   23.9408  6.2380
ita_Latn  1.0020   22.9749  6.4694
eng_Latn  1.0000   22.9298  5.4805
jpn_Jpan  0.9833   22.5476  7.1196
hrv_Latn  0.9417   21.5938  5.9051
arb_Arab  0.9290   21.3019  9.4442
fin_Latn  0.9178   21.0441  6.6329
srp_Cyrl  0.8393   19.2447  11.8015
nya_Latn  0.8369   19.1896  7.4105
kor_Hang  0.8313   19.0612  7.9414

# eng_Latn reference (raw_monotonicity, t_1.2781, t_upper_bound): pps=22.9298	bpp=5.4805
