Language  Premium  PPS      BPP
tam_Taml  3.3451   77.1264  5.1863
amh_Ethi  1.7821   41.0883  5.3313
kat_Geor  1.7585   40.5436  9.2192
arb_Arab  1.6736   38.5868  5.2137
vie_Latn  1.3562   31.2698  5.6075
heb_Hebr  1.3237   30.5196  5.7337
srp_Cyrl  1.2703   29.2879  7.7546
jpn_Jpan  1.2443   28.6891  5.5955
fra_Latn  1.2305   28.3701  5.4648
spa_Latn  1.2214   28.1605  5.4167
tha_Thai  1.1989   27.6419  12.5731
nya_Latn  1.1810   27.2287  5.2226
kor_Hang  1.1546   26.6209  5.6862
ita_Latn  1.1517   26.5527  5.5977
deu_Latn  1.1354   26.1775  5.7066
ron_Latn  1.1296   26.0441  5.7343
fin_Latn  1.0959   25.2668  5.5244
eng_Latn  1.0000   23.0562  5.4505
hrv_Latn  0.9900   22.8265  5.5862
cmn_Hans  0.9652   22.2548  5.2846

# eng_Latn reference (norm_entropy, t_0.8577, t_upper_bound): pps=23.0562	bpp=5.4505
