Language  Premium  PPS      BPP
heb_Hebr  2.3390   53.6580  3.2612
kat_Geor  2.1653   49.6730  7.5248
tha_Thai  1.7343   39.7864  8.7353
tam_Taml  1.6224   37.2197  10.7470
vie_Latn  1.3353   30.6339  5.7239
amh_Ethi  1.3287   30.4824  7.1862
deu_Latn  1.1553   26.5045  5.6362
spa_Latn  1.1009   25.2558  6.0396
fra_Latn  1.1007   25.2508  6.1399
cmn_Hans  1.0623   24.3711  4.8257
ron_Latn  1.0497   24.0802  6.2019
arb_Arab  1.0224   23.4554  8.5771
jpn_Jpan  1.0171   23.3320  6.8802
ita_Latn  1.0062   23.0822  6.4393
eng_Latn  1.0000   22.9408  5.4779
hrv_Latn  0.9503   21.8014  5.8488
fin_Latn  0.9199   21.1023  6.6146
srp_Cyrl  0.9085   20.8415  10.8973
kor_Hang  0.8699   19.9559  7.5853
nya_Latn  0.8516   19.5356  7.2792

# eng_Latn reference (combined, t_1.2656, t_upper_bound): pps=22.9408	bpp=5.4779
