Language  Premium  PPS      BPP
heb_Hebr  2.3422   53.7924  3.2530
kat_Geor  2.2406   51.4594  7.2636
tha_Thai  1.7666   40.5727  8.5660
tam_Taml  1.6736   38.4383  10.4063
amh_Ethi  1.3481   30.9609  7.0752
vie_Latn  1.3376   30.7202  5.7078
deu_Latn  1.1543   26.5105  5.6349
fra_Latn  1.1004   25.2718  6.1348
spa_Latn  1.1002   25.2678  6.0368
cmn_Hans  1.0589   24.3200  4.8358
ron_Latn  1.0492   24.0963  6.1978
jpn_Jpan  1.0340   23.7482  6.7596
arb_Arab  1.0191   23.4052  8.5955
ita_Latn  1.0053   23.0883  6.4376
eng_Latn  1.0000   22.9669  5.4717
hrv_Latn  0.9507   21.8345  5.8400
fin_Latn  0.9200   21.1294  6.6061
srp_Cyrl  0.9067   20.8245  10.9062
kor_Hang  0.8677   19.9288  7.5957
nya_Latn  0.8507   19.5376  7.2785

# eng_Latn reference (raw_monotonicity, t_1.2668, t_upper_bound): pps=22.9669	bpp=5.4717
