Language  Premium  PPS       BPP
amh_Ethi  6.6799   156.1765  1.4026
kat_Geor  5.4203   126.7282  2.9495
srp_Cyrl  5.0580   118.2558  1.9206
nya_Latn  3.8045   88.9498   1.5987
tam_Taml  3.4830   81.4323   4.9121
heb_Hebr  3.3905   79.2708   2.2075
tha_Thai  2.9361   68.6469   5.0628
hrv_Latn  2.8868   67.4945   1.8892
ron_Latn  2.1045   49.2026   3.0353
fin_Latn  1.9305   45.1344   3.0926
kor_Hang  1.8500   43.2528   3.4997
cmn_Hans  1.7605   41.1605   2.8573
vie_Latn  1.6554   38.7031   4.5305
ita_Latn  1.5098   35.2989   4.2107
spa_Latn  1.4424   33.7242   4.5230
deu_Latn  1.4269   33.3621   4.4777
fra_Latn  1.4111   32.9910   4.6994
jpn_Jpan  1.2786   29.8927   5.3702
arb_Arab  1.0578   24.7312   8.1346
eng_Latn  1.0000   23.3801   5.3749

# eng_Latn reference (raw_entropy, t_2.1919, t_upper_bound): pps=23.3801	bpp=5.3749
