Language  Premium  PPS       BPP
kat_Geor  5.3667   123.0030  3.0388
tam_Taml  4.2364   97.0973   4.1196
srp_Cyrl  4.1665   95.4945   2.3783
tha_Thai  3.9066   89.5396   3.8815
heb_Hebr  3.4343   78.7141   2.2231
amh_Ethi  2.4058   55.1394   3.9727
arb_Arab  1.7546   40.2146   5.0026
vie_Latn  1.7416   39.9178   4.3927
jpn_Jpan  1.4126   32.3761   4.9583
kor_Hang  1.3706   31.4132   4.8187
deu_Latn  1.2879   29.5176   5.0609
cmn_Hans  1.2184   27.9248   4.2116
fra_Latn  1.2070   27.6650   5.6041
spa_Latn  1.1959   27.4102   5.5649
ron_Latn  1.1450   26.2427   5.6909
ita_Latn  1.0710   24.5466   6.0552
eng_Latn  1.0000   22.9198   5.4829
fin_Latn  0.9374   21.4845   6.4970
hrv_Latn  0.6970   15.9759   7.9815
nya_Latn  0.6624   15.1815   9.3669

# eng_Latn reference (raw_monotonicity, t_1.1535, t_upper_bound): pps=22.9198	bpp=5.4829
