FLORES_Code,fineweb_repo,fineweb_config,available_bytes,n_docs_scanned,hit_cutoff,status
eng_Latn,HuggingFaceFW/fineweb,,100000531,34057,True,OK (hit cutoff)
ita_Latn,HuggingFaceFW/fineweb-2,ita_Latn,100000690,27895,True,OK (hit cutoff)
ron_Latn,HuggingFaceFW/fineweb-2,ron_Latn,100000725,25233,True,OK (hit cutoff)
heb_Hebr,HuggingFaceFW/fineweb-2,heb_Hebr,100000783,18231,True,OK (hit cutoff)
fin_Latn,HuggingFaceFW/fineweb-2,fin_Latn,100000951,30573,True,OK (hit cutoff)
cmn_Hans,HuggingFaceFW/fineweb-2,cmn_Hani,100001552,26586,True,OK (hit cutoff)
nya_Latn,HuggingFaceFW/fineweb-2,nya_Latn,100002592,24877,True,OK (hit cutoff)
deu_Latn,HuggingFaceFW/fineweb-2,deu_Latn,100003819,31002,True,OK (hit cutoff)
spa_Latn,HuggingFaceFW/fineweb-2,spa_Latn,100003913,24440,True,OK (hit cutoff)
kor_Hang,HuggingFaceFW/fineweb-2,kor_Hang,100003932,28723,True,OK (hit cutoff)
kat_Geor,HuggingFaceFW/fineweb-2,kat_Geor,100005292,12203,True,OK (hit cutoff)
srp_Cyrl,HuggingFaceFW/fineweb-2,srp_Cyrl,100005682,14314,True,OK (hit cutoff)
tha_Thai,HuggingFaceFW/fineweb-2,tha_Thai,100006233,10749,True,OK (hit cutoff)
hrv_Latn,HuggingFaceFW/fineweb-2,hrv_Latn,100007260,17261,True,OK (hit cutoff)
vie_Latn,HuggingFaceFW/fineweb-2,vie_Latn,100009852,16199,True,OK (hit cutoff)
fra_Latn,HuggingFaceFW/fineweb-2,fra_Latn,100019869,25676,True,OK (hit cutoff)
tam_Taml,HuggingFaceFW/fineweb-2,tam_Taml,100022610,10168,True,OK (hit cutoff)
arb_Arab,HuggingFaceFW/fineweb-2,arb_Arab,100025202,6019,True,OK (hit cutoff)
amh_Ethi,HuggingFaceFW/fineweb-2,amh_Ethi,100027497,14774,True,OK (hit cutoff)
jpn_Jpan,HuggingFaceFW/fineweb-2,jpn_Jpan,100029970,22271,True,OK (hit cutoff)
