language_code,Tiny,Small,Medium,Paper-scale,Repo-scale
eng_Latn,OK,OK,OK,OK,OK
deu_Latn,OK,OK,OK,OK,OK
spa_Latn,OK,OK,OK,OK,OK
ita_Latn,OK,OK,OK,OK,OK
fra_Latn,OK,OK,OK,OK,OK
ron_Latn,OK,OK,OK,OK,OK
hrv_Latn,OK,OK,OK,OK,OK
srp_Cyrl,OK,OK,OK,OK,OK
nya_Latn,OK,OK,OK,OK,OK
fin_Latn,OK,OK,OK,OK,OK
vie_Latn,OK,OK,OK,OK,OK
kat_Geor,OK,OK,OK,OK,OK
arb_Arab,OK,OK,OK,OK,OK
heb_Hebr,OK,OK,OK,OK,OK
tam_Taml,OK,OK,OK,OK,OK
tha_Thai,OK,OK,OK,OK,OK
amh_Ethi,OK,OK,OK,OK,OK
kor_Hang,OK,OK,OK,OK,OK
jpn_Jpan,OK,OK,OK,OK,OK
cmn_Hans,OK,OK,OK,OK,OK
