language_code,filename,n_entries,total_bytes,ratio_vs_english
shn_Mymr,shn_Mymr.json,997,496505,3.96284619682337
dzo_Tibt,dzo_Tibt.json,997,463530,3.6996567962327402
mya_Mymr,mya_Mymr.json,997,443775,3.5419826003671484
khm_Khmr,khm_Khmr.json,997,427210,3.4097693351424696
bod_Tibt,bod_Tibt.json,997,418753,3.3422699337536916
tam_Taml,tam_Taml.json,997,398801,3.1830233857450714
mal_Mlym,mal_Mlym.json,997,391356,3.1236012451113417
kat_Geor,kat_Geor.json,997,372658,2.974363476733977
kan_Knda,kan_Knda.json,997,357459,2.853052917232022
brx_Deva,brx_Deva.json,997,352347,2.8122515763428844
sat_Olck,sat_Olck.json,997,352168,2.810822890893128
mni_Beng,mni_Beng.json,997,347444,2.77311836539229
tha_Thai,tha_Thai.json,997,346502,2.765599808444409
ory_Orya,ory_Orya.json,997,345806,2.7600446963045733
lao_Laoo,lao_Laoo.json,997,344878,2.752637880118126
dgo_Deva,dgo_Deva.json,997,341326,2.7242876526458617
tel_Telu,tel_Telu.json,997,338816,2.7042541304174317
mar_Deva,mar_Deva.json,997,335677,2.6792002554074545
sin_Sinh,sin_Sinh.json,997,335674,2.6791763109585762
snd_Deva,snd_Deva.json,997,334570,2.6703647537712505
san_Deva,san_Deva.json,997,333339,2.6605395482480647
ben_Beng,ben_Beng.json,997,329572,2.6304733019395004
pan_Guru,pan_Guru.json,997,326052,2.602378481921941
mni_Mtei,mni_Mtei.json,997,323782,2.584260515603799
npi_Deva,npi_Deva.json,997,323081,2.5786654960491657
hin_Deva,hin_Deva.json,997,322253,2.5720568281586718
asm_Beng,asm_Beng.json,997,321904,2.5692712906057946
gom_Deva,gom_Deva.json,997,319430,2.5495251017639076
mai_Deva,mai_Deva.json,997,318194,2.5396599888259237
awa_Deva,awa_Deva.json,997,315956,2.5217974299624872
guj_Gujr,guj_Gujr.json,997,314723,2.5119562614733817
hne_Deva,hne_Deva.json,997,310580,2.478888977572033
bho_Deva,bho_Deva.json,997,310444,2.4778034958895363
mag_Deva,mag_Deva.json,997,310320,2.476813792002554
kas_Deva,kas_Deva.json,997,302085,2.4110862798307924
taq_Tfng,taq_Tfng.json,997,288609,2.303527815468114
nqo_Nkoo,nqo_Nkoo.json,997,288510,2.3027376486551203
zgh_Tfng,zgh_Tfng.json,997,286187,2.284196663740123
ell_Grek,ell_Grek.json,997,273289,2.1812514965280547
dar_Cyrl,dar_Cyrl.json,997,268396,2.1421981004070556
tyv_Cyrl,tyv_Cyrl.json,997,264479,2.1109346316545614
bel_Cyrl,bel_Cyrl.json,997,262573,2.09572192513369
hye_Armn,hye_Armn.json,997,257750,2.0572272328198578
tgk_Cyrl,tgk_Cyrl.json,997,253637,2.024399393407295
rus_Cyrl,rus_Cyrl.json,997,252298,2.013712187724479
kjh_Cyrl,kjh_Cyrl.json,997,251751,2.009346316545614
